	Site	Habitat	PSM	long	lat	Elevation	MAT	MAP	TP	AP	pH	EC	NH4	NO3	WSOC	DOC
61	QHST	Grassland	4.440232817	99.80061833	35.31682333	3580	-1.2	379	375.2691167	5.836498066	8.443	0.273	0.260603505	186.9715915	65.718	74.53
62	NMGBY	Grassland	4.432808362	118.9291883	44.44101333	997	1.7	405	289.218872	4.195668851	6.982	0.33	0.940002645	315.8179758	74.595	0
63	XJASL	Grassland	4.391511818	86.320135	48.26228167	872	3.2	241	461.5441861	15.43924721	6.741	0.667	2.767950312	214.6814853	282.81	0
64	SCGZBY	Grassland	4.361430069	99.567895	31.17372167	3791	4.5	591	1179.128273	4.77951207	5.284	0.395	0.994639657	306.2318619	125.7	0
65	GDSL	Mined land	4.331522772	111.644505	22.13872833	47	22.8	1917	335.5366756	5.615219119	6.714	0.084	0.066810644	8.501742334	122.91	0
66	NMGZJ	Grassland	4.323286514	107.0827183	41.156985	1178	6.7	131	611.0685412	2.2023524	8.735	0.247	0.695400589	31.10691068	23.44185	0
67	QHST	Mined land	4.319977138	99.80896333	35.32498	3641	-0.9	379	242.6906205	0.438854899	7.424	2.268	0.631446525	49.10075144	51.6315	26.5365
68	QHCDM	Gobi	4.279301058	95.53895	37.32314667	3124	2.5	83	672.5124617	2.741725491	8.75	10.083	0.541894739	74.31643155	102.9795	88.59785
69	XZYL	Grassland	4.272235222	97.90838833	31.362695	3967	3	511	502.8849226	3.883853745	7.799	0.373	0.417865291	278.3016017	48.2165	0
70	XJKKTH	Grassland	4.264779932	89.795935	47.19266167	1217	2.2	152	476.1403598	8.622633254	8.1325	0.2325	1.168973239	117.680755	210.05	0
71	XJQXHL	Gobi	4.247792242	89.65021167	46.77382167	983	3	166	1014.179919	21.74406973	8.052	0.147	1.30040113	44.68391726	97.325	0
72	YNDC	Mined land	4.242732268	103.10089	26.19227167	1108	19.5	726	270.3845002	1.993925836	9.014	0.497	0.058948134	1.980165189	131.705	0
73	HNHSP	Mined land	4.139256997	112.70138	25.67885333	324	18.2	1446	9.283333944	2.079889774	6.373	2.582	0.830912848	4.189670411	334.255	0
74	XJKKTH	Mined land	4.114401164	89.80060333	47.1998975	1201	2.1	152	551.9946184	6.574378545	8.49	0.146	0.885274657	20.51761025	183.4905	124.11
75	GSJC	Gobi	4.097393685	102.2509567	38.48338333	1530	7.6	146	295.5221127	6.468093139	8.115	0.22	0.358288341	50.76062909	134.275	26.956
76	HLJXL	Mined land	4.072230528	129.2914817	47.45098833	211	1.1	636	709.0004108	0.968795534	6.803	3.456	0.938375123	2.746451886	61.235	0
77	SCGZBY	Mined land	4.066176415	99.56885833	31.17411167	3797	4.5	591	199.8801013	1.075204623	7.128	1.033	0.127950808	0.822836413	28.075	0
78	HEBCJY	Mined land	4.056111321	115.251655	41.42231667	1465	3.5	399	1339.471185	3.848381919	7.804	3.187	0.851932481	21.02096499	49.3495	0
79	NMGZJ	Mined land	4.055703798	107.080975	41.15875333	1215	6.5	133	1516.896332	3.366323017	6.307	5.538	0.941483787	217.6599165	7.32145	0
80	SXSBH	Mined land	4.037182032	111.6511283	35.261405	576	12.6	552	1138.166219	3.976571446	8.467	1.17	0.05833251	18.57663581	2.23455	59.94133333
