	long	lat	group
1	121.4884415	53.33264923	0.1
2	121.4995422	53.33600616	0.1
3	121.5184097	53.33919144	0.1
4	121.5390701	53.34172058	0.1
5	121.5737534	53.34817505	0.1
6	121.5840378	53.34964371	0.1
7	121.5936737	53.35323715	0.1
8	121.6038132	53.35781097	0.1
9	121.6132736	53.36336517	0.1
10	121.6229172	53.3667984	0.1
11	121.6350021	53.37104416	0.1
12	121.6464386	53.37333298	0.1
13	121.6606522	53.3779068	0.1
14	121.6673508	53.38280487	0.1
15	121.6748734	53.38558197	0.1
16	121.6840134	53.38917542	0.1
17	121.6972427	53.38999557	0.1
18	121.7039413	53.39015579	0.1
19	121.7109604	53.38835907	0.1
20	121.718483	53.38639832	0.1
21	121.7258301	53.38558197	0.1
22	121.7325287	53.385746	0.1
23	121.7372665	53.38672638	0.1
24	121.7424927	53.38787079	0.1
25	121.7536011	53.3913002	0.1
26	121.7651978	53.39489365	0.1
27	121.7764664	53.39767075	0.1
28	121.7847977	53.39979553	0.1
29	121.7918167	53.40257263	0.1
30	121.8035889	53.40747452	0.1
31	121.8099594	53.41008759	0.1
32	121.8182907	53.41335297	0.1
33	121.8230286	53.41433334	0.1
34	121.828743	53.41433334	0.1
35	121.8377304	53.41531372	0.1
36	121.8454132	53.4162941	0.1
37	121.8525925	53.42005157	0.1
38	121.8597794	53.42299271	0.1
39	121.8663177	53.42495346	0.1
40	121.8731766	53.42544174	0.1
41	121.8784027	53.42478943	0.1
42	121.889679	53.42282867	0.1
43	121.8986588	53.42103195	0.1
44	121.9050293	53.42021561	0.1
45	121.9097672	53.42086792	0.1
46	121.9138565	53.4218483	0.1
47	121.9192429	53.42299271	0.1
48	121.9238205	53.42380905	0.1
49	121.9297028	53.4246254	0.1
50	121.9425964	53.42625809	0.1
51	121.9535522	53.42805481	0.1
52	121.9648209	53.42871094	0.1
53	121.9729919	53.42936325	0.1
54	121.9816437	53.42919922	0.1
55	121.9930801	53.42871094	0.1
56	122.0053329	53.42805481	0.1
57	122.0179062	53.42642212	0.1
58	122.0295105	53.42495346	0.1
59	122.0396271	53.42299271	0.1
60	122.050087	53.42086792	0.1
61	122.0620193	53.4190712	0.1
62	122.0731277	53.41858292	0.1
63	122.0894623	53.42037964	0.1
64	122.1030197	53.42348099	0.1
65	122.1152725	53.42952728	0.1
66	122.1245804	53.43883896	0.1
67	122.1350403	53.44847488	0.1
68	122.1423874	53.45680618	0.1
69	122.1472931	53.46203613	0.1
70	122.1520309	53.46578979	0.1
71	122.1579132	53.46840668	0.1
72	122.1618271	53.46987534	0.1
73	122.1665573	53.47036743	0.1
74	122.1758804	53.47069168	0.1
75	122.1845322	53.46938705	0.1
76	122.2118073	53.46268845	0.1
77	122.2212906	53.46007538	0.1
78	122.2261887	53.45958328	0.1
79	122.22995	53.46007538	0.1
80	122.2382813	53.46072769	0.1
81	122.2459564	53.46268845	0.1
82	122.2647476	53.47052765	0.1
83	122.2914505	53.47951508	0.1
84	122.3019104	53.48768234	0.1
85	122.3087692	53.49356079	0.1
86	122.3182373	53.49781036	0.1
87	122.3296814	53.50009537	0.1
88	122.3394775	53.5007515	0.1
89	122.3476486	53.49911499	0.1
90	122.3512421	53.49552155	0.1
91	122.3545074	53.49127579	0.1
92	122.3571167	53.4863739	0.1
93	122.3610535	53.48310852	0.1
94	122.3666	53.47624588	0.1
95	122.3701935	53.4729805	0.1
96	122.3884888	53.46154404	0.1
97	122.4054794	53.45141602	0.1
98	122.4165878	53.44618988	0.1
99	122.4312897	53.44292068	0.1
100	122.4459915	53.44292068	0.1
101	122.4564438	53.4452095	0.1
102	122.4708176	53.45304871	0.1
103	122.4825821	53.45468521	0.1
104	122.4936905	53.45468521	0.1
105	122.5067596	53.45239639	0.1
106	122.5204773	53.45108795	0.1
107	122.5364914	53.45108795	0.1
108	122.5459595	53.45337677	0.1
109	122.5580521	53.45598984	0.1
110	122.573082	53.45762253	0.1
111	122.5864716	53.46121597	0.1
112	122.6001968	53.46252441	0.1
113	122.6237183	53.46154404	0.1
114	122.6393967	53.46089172	0.1
115	122.650177	53.46023941	0.1
116	122.6583633	53.45925903	0.1
117	122.6727295	53.45795059	0.1
118	122.6949463	53.45827866	0.1
119	122.7188034	53.45827866	0.1
120	122.7384033	53.46023941	0.1
121	122.7534332	53.46089172	0.1
122	122.7687836	53.45958328	0.1
123	122.781517	53.45827866	0.1
124	122.7985229	53.45598984	0.1
125	122.8115768	53.45500946	0.1
126	122.8341217	53.45566177	0.1
127	122.8514404	53.45533752	0.1
128	122.8667984	53.45795059	0.1
129	122.8860703	53.46089172	0.1
130	122.8952179	53.46317673	0.1
131	122.9050217	53.46448517	0.1
132	122.9122086	53.46775055	0.1
133	122.9216766	53.47396088	0.1
134	122.9370422	53.48147583	0.1
135	122.9533768	53.48604965	0.1
136	122.9720001	53.48800659	0.1
137	122.9814835	53.48996735	0.1
138	122.9991074	53.49356079	0.1
139	123.0164337	53.49682999	0.1
140	123.0291672	53.49846268	0.1
141	123.0383224	53.49911499	0.1
142	123.0432205	53.49944305	0.1
143	123.0491028	53.50173187	0.1
144	123.0572662	53.50466919	0.1
145	123.0664215	53.50532532	0.1
146	123.0752411	53.50499725	0.1
147	123.1007233	53.5030365	0.1
148	123.1186905	53.49944305	0.1
149	123.1333923	53.49584961	0.1
150	123.1405792	53.49650192	0.1
151	123.1647568	53.50401688	0.1
152	123.1784821	53.51218414	0.1
153	123.190239	53.52231216	0.1
154	123.2078934	53.53734207	0.1
155	123.2242203	53.54714203	0.1
