Sample.type	PSM	lat	long	lMAT	lMAP	lpH	lTP	lAP	MAT	MAP	pH	TP	AP
47	Bulk soil	5.380051971	0	35	1.514961901	3.062205809	0.416640507	NA	0.906738974	21.98909382	1293	5.63	NA	7.08
48	Bulk soil	6.049571519	0	36	1.458594574	2.937517892	0.478566496	NA	0.75185624	18.00503123	1005	6.03	NA	4.66
49	Bulk soil	5.790926629	0	38	1.539736657	2.625312451	0.416640507	NA	0.949267997	23.9105622	561	5.63	NA	7.91
50	Bulk soil	5.878183879	-1	34	1.522986084	2.935003151	0.409933123	NA	0.660628353	22.59946879	1000	5.59	NA	3.59
51	Bulk soil	8.2787534	12	80	1.592047996	3.012415375	0.503790683	NA	NA	28.34630505	1168	6.21	NA	NA
52	Bulk soil	8.041786972	12	93	1.57600665	3.446692466	0.527629901	NA	NA	26.92885256	2936	6.39	NA	NA
53	Bulk soil	8.303195867	13	75	1.575117819	3.578524605	0.485721426	NA	NA	26.85183366	3928	6.08	NA	NA
54	Bulk soil	5.008225325	-19.89	-43.44	1.488877547	3.121559844	NA	NA	NA	20.0810833	1462	NA	NA	NA
55	Bulk soil	4.32039557	-21	-45	1.483174527	3.1775365	0.376576957	NA	0.200713734	19.67896879	1644	5.4	NA	0.6
56	Bulk soil	5.684766392	22	87	1.572538593	3.158362492	0.376576957	NA	0.339948062	26.62922919	1579	5.4	NA	1.2
57	Bulk soil	5.893369418	22	89	1.568854825	3.248708736	0.710117365	NA	0.12303453	26.31357908	1912	8.15	NA	0.34
58	Bulk soil	7.200483289	23	114	1.517211026	3.242541428	NA	NA	NA	22.15904192	1887	NA	NA	NA
59	Bulk soil	6.709917524	23	88	1.567865233	3.08278537	0.523746467	2.679781857	0.980344307	26.22923942	1349	6.36	477.39	8.57
60	Bulk soil	3.99878227	-23	-45	1.438981331	3.143639235	0.281033367	NA	0.821349736	16.73565616	1531	4.93	NA	5.64
61	Bulk soil	5.889532518	23.47	120.87	1.356830644	3.441066407	0.155336037	NA	NA	12	2900	4.45	NA	NA
62	Bulk soil	6.494837792	24.9	104	1.397060035	2.965671971	0.641474111	NA	0.475307914	14.20729181	1063	7.4	NA	2
63	Bulk soil	6.180387406	26.6	104.8	1.368877593	2.979548375	0.670245853	NA	1.908417993	12.63967711	1093	7.7	NA	80
64	Bulk soil	7.062954528	26.8	104.6	1.349770119	2.958085849	0.565847819	NA	0.475307914	11.63326034	1047	6.7	NA	2
65	Bulk soil	5.495713582	29	77	1.549900084	2.715167358	NA	NA	NA	24.73107272	658	NA	NA	NA
66	Bulk soil	7.04169281	29.37	72.75	1.565326028	1.322219295	0.705863712	2.964259508	0.844321821	26.01370843	160	8.1	920	6
67	Bulk soil	4.826800181	30.01	101.7	0.995729773	2.797959644	0	NA	1.357506055	-0.839947944	767	4.02	NA	21.79
68	Bulk soil	6.307477211	30.5	103	1.390358568	2.979548375	0.5774918	NA	0.600700696	13.82526025	1093	6.8	NA	3
69	Bulk soil	4.011373056	32	78	0.773024939	2.57054294	0.660865478	NA	1.100628977	-4.812510406	511	7.6	NA	11.62
70	Bulk soil	4.017422916	33	77	0	2.217483944	0.597695186	NA	1.152211877	-9.742104143	304	6.98	NA	13.21
71	Bulk soil	4.183136924	-33	-71	1.393684315	2.413299764	NA	NA	0.917374204	14.01411479	398	NA	NA	7.28
72	Bulk soil	8.00086734	34	75	1.383372658	2.946452265	0.521138084	NA	NA	13.43323961	1023	6.34	NA	NA
73	Bulk soil	6.464446623	35	114.4	1.402020517	2.672097858	0.751279104	2.848188957	1.105425021	14.49389574	609	8.66	704	11.76
74	Bulk soil	6.49898725	39.9	116.2	1.364630327	2.639486489	0.660865478	NA	0.600700696	12.41212499	575	7.6	NA	3
75	Bulk soil	5.578538359	-4	40	1.558725473	2.988558957	0.592176757	NA	0.902410871	25.45930473	1113	6.93	NA	7
76	Bulk soil	7.872953663	40	116.3	1.364618604	2.633468456	0.679427897	NA	1.64332928	12.41150002	569	7.8	NA	43
77	Bulk soil	5.417541501	50	-113	1.203667359	2.396199347	NA	2.804398255	0.841828555	5.241229263	388	NA	636.38	5.96
78	Bulk soil	6.910866401	54	12	1.283268239	2.651278014	0.50242712	1.676691232	NA	8.456437446	587	6.2	46.5	NA
79	Bulk soil	6.429548202	6	100	1.578477082	3.391111614	NA	NA	NA	27.14374995	2600	NA	NA	NA
80	Bulk soil	4.879451431	8	-72	1.411439937	3.228656958	0.318063335	NA	1.254970807	15.04721856	1832	5.1	NA	17
81	Roots	6.973123788	16.05	-3	1.597076821	2.103803721	0.525044807	NA	0.624024125	28.80155202	266	6.37	NA	3.22
82	Roots	6.758400526	16.13	-1.1	1.608088021	1.826074803	0.456366033	NA	2.685667857	29.81696892	206	5.88	NA	483.93
83	Roots	3.411395206	21	-158	1.554393497	2.991669007	0.593286067	NA	NA	25.1	1120	6.94	NA	NA
84	Roots	5.353084056	30.01	101.7	0.995729773	2.797959644	0	NA	1.357506055	-0.839947944	767	4.02	NA	21.79
85	Roots	2.947433722	31	77	1.46924595	3.109240969	NA	NA	NA	18.71879178	1425	NA	NA	NA
86	Roots	3.122543524	31	78	1.424320377	3.136720567	NA	NA	NA	15.8235416	1509	NA	NA	NA
87	Roots	2.942504106	32	77	1.40919459	3.116939647	NA	NA	NA	14.91422922	1448	NA	NA	NA
88	Roots	8.797036534	32.93	73.73	1.531646935	2.870988814	0.746634199	NA	NA	23.2710522	882	8.6	NA	NA
89	Roots	3.565847819	33	76	1.294384465	3.042969073	NA	NA	NA	8.954187466	1243	NA	NA	NA
90	Roots	6.70328381	37	123	1.358952108	2.772321707	NA	NA	NA	12.11136356	731	NA	NA	NA
91	Roots	8.132301846	6	100	1.578477082	3.391111614	NA	NA	NA	27.14374995	2600	NA	NA	NA
92	Sediment	5.724203754	22.98	88.63	1.567167456	3.165244326	0.644438589	3.757927922	0.560803002	26.16988556	1602	7.43	5726.01	2.65
93	Sediment	5.587612199	23	88	1.567865233	3.08278537	0.653212514	3.431093411	0.627109711	26.22923942	1349	7.52	2697.32	3.25
94	Sediment	5.856675733	23.07	88.72	1.567167456	3.165244326	0.457881897	3.704239747	0.365019743	26.16988556	1602	5.89	5060.04	1.33
95	Sediment	4.414338146	29.93666667	116.1206667	1.446650412	3.111262514	0.673020907	3.03995e-05	NA	17.22518756	1431	7.73	0.00033	NA
96	Sediment	4.445790956	29.95416667	116.1605	1.446650412	3.111262514	NA	4.77698e-05	NA	17.22518756	1431	NA	0.00037	NA
97	Sediment	4.017534159	29.9565	116.2051667	1.446650412	3.111262514	0.631443769	0	NA	17.22518756	1431	7.3	0.00026	NA
98	Sediment	4.711064499	30.25	120.27	1.434040682	3.056142262	0.746634199	3.387033655	NA	16.42483326	1277	8.6	2437	NA
99	Sediment	5.289838578	31.5	120.22	1.420457385	2.933487288	NA	3.332640358	NA	15.58829153	997	NA	2150	NA
100	Sediment	4.698204973	31.52	120.2	1.420457385	2.933487288	NA	3.332640358	NA	15.58829153	997	NA	2150	NA
101	Sediment	5.069712486	31.52	120.22	1.420457385	2.933487288	NA	3.332640358	NA	15.58829153	997	NA	2150	NA
102	Sediment	4.317269187	31.53216667	117.601	1.42591054	3.032618761	0.621176282	8.6858e-06	NA	15.92098962	1217	7.2	0.00028	NA
103	Sediment	4.718186026	31.59166667	117.7501667	1.426929225	3.006466042	0.607455023	3.90847e-05	NA	15.98360419	1154	7.07	0.00035	NA
104	Sediment	4.644556749	31.59633333	117.4046667	1.425606897	3.009875634	0.57863921	4.34273e-05	NA	15.90235426	1162	6.81	0.00036	NA
105	Sediment	4.891604353	31.65033333	117.3965	1.425606897	3.009875634	0.579783597	4.77698e-05	NA	15.90235426	1162	6.82	0.00037	NA
106	Water	3.006180698	13	80	1.600778063	3.039414119	0.692846919	NA	NA	29.14	1234	7.95	NA	NA
107	Water	3.179551791	22.98	88.63	1.567167456	3.165244326	0.661812686	NA	NA	26.16988556	1602	7.61	NA	NA
108	Water	3.258158193	23.07	88.72	1.567167456	3.165244326	0.644438589	NA	NA	26.16988556	1602	7.43	NA	NA
109	Water	4.396408595	31.5	120.22	1.420457385	2.933487288	NA	NA	NA	15.58829153	997	NA	NA	NA
110	Water	4.037904357	31.52	120.2	1.420457385	2.933487288	NA	NA	NA	15.58829153	997	NA	NA	NA
111	Water	4.299114884	31.52	120.22	1.420457385	2.933487288	NA	NA	NA	15.58829153	997	NA	NA	NA
112	Water	3.542238245	37	-5	1.424725316	2.713490543	NA	NA	NA	15.84832315	656	NA	NA	NA
113	Water	3.32589178	9	79	1.602950512	2.802773725	0.682145076	NA	NA	29.34	774	7.83	NA	NA
