	Sample.type	PSM	lat	long	MAT	MAP	pH	TP	AP
78	Bulk soil	6.910866401	54	12	8.456437446	587	6.2	46.5	NA
79	Bulk soil	6.429548202	6	100	27.14374995	2600	NA	NA	NA
80	Bulk soil	4.879451431	8	-72	15.04721856	1832	5.1	NA	17
81	Roots	6.973123788	16.05	-3	28.80155202	266	6.37	NA	3.22
82	Roots	6.758400526	16.13	-1.1	29.81696892	206	5.88	NA	483.93
83	Roots	3.411395206	21	-158	25.1	1120	6.94	NA	NA
84	Roots	5.353084056	30.01	101.7	-0.839947944	767	4.02	NA	21.79
85	Roots	2.947433722	31	77	18.71879178	1425	NA	NA	NA
86	Roots	3.122543524	31	78	15.8235416	1509	NA	NA	NA
87	Roots	2.942504106	32	77	14.91422922	1448	NA	NA	NA
88	Roots	8.797036534	32.93	73.73	23.2710522	882	8.6	NA	NA
89	Roots	3.565847819	33	76	8.954187466	1243	NA	NA	NA
90	Roots	6.70328381	37	123	12.11136356	731	NA	NA	NA
91	Roots	8.132301846	6	100	27.14374995	2600	NA	NA	NA
92	Sediment	5.724203754	22.98	88.63	26.16988556	1602	7.43	5726.01	2.65
93	Sediment	5.587612199	23	88	26.22923942	1349	7.52	2697.32	3.25
94	Sediment	5.856675733	23.07	88.72	26.16988556	1602	5.89	5060.04	1.33
95	Sediment	4.414338146	29.93666667	116.1206667	17.22518756	1431	7.73	0.00033	NA
96	Sediment	4.445790956	29.95416667	116.1605	17.22518756	1431	NA	0.00037	NA
97	Sediment	4.017534159	29.9565	116.2051667	17.22518756	1431	7.3	0.00026	NA
98	Sediment	4.711064499	30.25	120.27	16.42483326	1277	8.6	2437	NA
99	Sediment	5.289838578	31.5	120.22	15.58829153	997	NA	2150	NA
100	Sediment	4.698204973	31.52	120.2	15.58829153	997	NA	2150	NA
101	Sediment	5.069712486	31.52	120.22	15.58829153	997	NA	2150	NA
102	Sediment	4.317269187	31.53216667	117.601	15.92098962	1217	7.2	0.00028	NA
103	Sediment	4.718186026	31.59166667	117.7501667	15.98360419	1154	7.07	0.00035	NA
104	Sediment	4.644556749	31.59633333	117.4046667	15.90235426	1162	6.81	0.00036	NA
105	Sediment	4.891604353	31.65033333	117.3965	15.90235426	1162	6.82	0.00037	NA
114	Municipal solid waste	6.70112846	46	127	3.67587504	535	7.8	11625	3645
115	Rock	4.483044982	50	-113	5.241229263	388	NA	720	13.05
